=== 2026-09-21T11:52:56+03:00 smc_girs_b1w1_ri0 ===
saved run to results/smc/burgers/smc_girs_b1w1_ri0
=== 2026-09-21T12:12:57+03:00 smc_girs_b1w1_ri1 ===
saved run to results/smc/burgers/smc_girs_b1w1_ri1
=== 2026-09-21T12:32:58+03:00 smc_girs_b10w10_ri0 ===
saved run to results/smc/burgers/smc_girs_b10w10_ri0
=== 2026-09-21T12:53:01+03:00 smc_girs_b10w10_ri1 ===
saved run to results/smc/burgers/smc_girs_b10w10_ri1
=== 2026-09-21T13:13:03+03:00 aggregate ===
<!-- exp1 table, generated 2026-09-21 13:13:03, 11 runs -->
| run | method | beta | omega | rho_temp | rho_init | lambda_girs | N | K | rel_err | rel_err_norm | ess_final |
|---|---|---|---|---|---|---|---|---|---|---|---|
| 20260921-120101_84ee87 | ode |  |  |  |  |  | 1 | 2000 | 0.05207246080961144 |  |  |
| smc_girs_b10w10_ri0 | smc | 10.0 | 10.0 | 1.0 | 0.0 | 1.0 | 8 | 2000 | 0.8772379596726968 | 0.8772379596726967 | 4.531844909445456 |
| smc_girs_b10w10_ri1 | smc | 10.0 | 10.0 | 1.0 | 1.0 | 1.0 | 8 | 2000 | 0.9221445106332511 | 0.9221445106332511 | 4.470574791013421 |
| smc_girs_b1w1_ri0 | smc | 1.0 | 1.0 | 1.0 | 0.0 | 1.0 | 8 | 2000 | 1.2272440660890886 | 1.2272440660890886 | 7.746286848473985 |
| smc_girs_b1w1_ri1 | smc | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 8 | 2000 | 1.2315905341984863 | 1.231590534198486 | 7.726217883031472 |
| smc_pbs_b10w10_ri0 | smc | 10.0 | 10.0 | 1.0 | 0.0 | 0.0 | 8 | 2000 | 1.2825621338129356 | 1.2825621338129356 | 7.7762100300786745 |
| smc_pbs_b1w1_ri0 | smc | 1.0 | 1.0 | 1.0 | 0.0 | 0.0 | 8 | 2000 | 1.2902151001977895 | 1.2902151001977895 | 7.99729155145006 |
| smc_pbs_b1w1_ri1 | smc | 1.0 | 1.0 | 1.0 | 1.0 | 0.0 | 8 | 2000 | 1.294142276848891 | 1.2941422768488908 | 7.9975539141556595 |
| smc_unw_b10w10_ri0 | smc | 10.0 | 10.0 | 0.0 | 0.0 | 1.0 | 8 | 2000 | 1.3198527923597452 | 1.3198527923597452 | 8.0 |
| smc_unw_b1w1_ri0 | smc | 1.0 | 1.0 | 0.0 | 0.0 | 1.0 | 8 | 2000 | 1.2910576791111812 | 1.2910576791111812 | 8.0 |
| smc_unw_b1w1_ri1 | smc | 1.0 | 1.0 | 0.0 | 1.0 | 1.0 | 8 | 2000 | 1.2947450513077587 | 1.2947450513077587 | 7.997322605182562 |
=== 2026-09-21T13:13:03+03:00 done ===
